시나리오별,지역,성별,연령,항목,단위,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,년도
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제이동0중위 / 국내이동0중위),전국,계,45 0 49세,추계인구,0.0,1271554.0,1288932.0,1295548.0,1314772.0,1352755.0,1398399.0,1448885.0,1512900.0,1583123.0,1659875.0,1756088.0,1851271.0,1928379.0,2001786.0,2066471.0,2119340.0,2166942.0,2211518.0,2230327.0,2219245.0,2166709.0,2155466.0,2180285.0,2246633.0,2335451.0,2418904.0,2478292.0,2553587.0,2613214.0,2716095.0,2921443.0,3160621.0,3346133.0,3569142.0,3802111.0,3958097.0,4139484.0,4248784.0,4354664.0,4321262.0,4271709.0,4191090.0,4173386,4125313,4295086,4354036,4441770,4506942,4553179,4487622,4385732,4213912,4061992,3926944,3828741,3865770,3944572,4041970,4074072,4026680,3855874,3685334,3495431,3350483,3290592,3299778,3315837,3407450,3515960,3596314,3652105,3700344,3670128,3619034,3546827,3491221,3409227,3264354,3102163,2970673,2793071,2627593,2563903,1271554.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제이동0중위 / 국내이동0중위),전국,계,50 0 54세,추계인구,0.0,1017150.0,1041058.0,1071643.0,1122447.0,1169097.0,1202947.0,1224803.0,1243071.0,1261600.0,1289291.0,1324926.0,1376616.0,1444187.0,1517874.0,1600217.0,1686760.0,1772028.0,1852866.0,1927566.0,1994986.0,2021714.0,2066185.0,2111226.0,2126067.0,2111389.0,2090711.0,2074866.0,2103395.0,2173953.0,2270251.0,2365862.0,2427537.0,2505591.0,2568222.0,2664066.0,2861891.0,3106401.0,3287112.0,3524016.0,3761143.0,3934363.0,4163908.0,4263019,4364665,4334785,4289039,4170297,4163840,4122273,4297890,4338269,4425748,4489552,4525612,4459873,4367799,4202152,4057446,3927373,3825551,3863600,3943291,4041468,4074563,4028272,3858952,3689608,3500954,3356933,3297665,3307358,3324058,3416096,3525134,3606128,3662547,3711352,3681895,3631410,3559738,3504568,3423065,3278633,1017150.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제이동0중위 / 국내이동0중위),전국,계,55 0 59세,추계인구,0.0,846448.0,874484.0,872562.0,874616.0,890487.0,919381.0,951865.0,993395.0,1047164.0,1097369.0,1130835.0,1144240.0,1159080.0,1181647.0,1215411.0,1258578.0,1306470.0,1369732.0,1441506.0,1516598.0,1589504.0,1674389.0,1749203.0,1820265.0,1881895.0,1927926.0,1961234.0,2011322.0,2029040.0,2016474.0,2006389.0,2008937.0,2041047.0,2105442.0,2196938.0,2285610.0,2363424.0,2441497.0,2518813.0,2611705.0,2817315.0,3065255.0,3241925,3457310,3699016,3884217,4134915,4225899,4340508,4295393,4237067,4113626,4113957,4070751,4246026,4292571,4384454,4451091,4489822,4421800,4332354,4169855,4027734,3900082,3800410,3839460,3919958,4018833,4052964,4007998,3840689,3673112,3486328,3343769,3285465,3295833,3313322,3405784,3515269,3596845,3653864,3703231,3674678,846448.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제이동0중위 / 국내이동0중위),전국,계,60 0 64세,추계인구,0.0,658773.0,684845.0,689332.0,698262.0,698520.0,709170.0,744604.0,773967.0,793066.0,811766.0,835876.0,860174.0,893176.0,935774.0,977601.0,1010305.0,1035168.0,1055954.0,1079622.0,1111801.0,1156731.0,1205934.0,1267444.0,1332971.0,1404302.0,1488523.0,1587609.0,1659101.0,1724288.0,1779701.0,1817056.0,1859995.0,1915420.0,1950647.0,1946812.0,1946175.0,1933740.0,1963549.0,2024598.0,2117041.0,2212040.0,2302960.0,2377804,2443552,2541221,2750831,2994342,3170368,3389068,3627949,3814370,4064749,4148113,4258205,4211091,4155466,4042638,4045830,4005606,4176009,4224945,4318208,4386286,4426675,4361898,4275411,4116744,3977890,3853314,3756412,3796745,3878169,3977826,4013231,3969950,3805278,3640103,3455800,3315163,3258086,3269232,3287599,3380469,658773.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제이동0중위 / 국내이동0중위),전국,계,65 0 69세,추계인구,0.0,428725.0,467031.0,455436.0,476567.0,511455.0,538406.0,557018.0,577862.0,596346.0,608411.0,623957.0,640668.0,658652.0,674263.0,690739.0,712208.0,739370.0,774362.0,816658.0,866053.0,900851.0,919104.0,938875.0,965304.0,1002718.0,1048214.0,1100172.0,1164709.0,1229902.0,1298093.0,1381212.0,1461093.0,1528114.0,1592234.0,1649747.0,1689609.0,1734658.0,1804867.0,1866427.0,1870279.0,1878314.0,1846336.0,1874691,1914508,2005729,2105631,2210004,2286519,2356588,2448622,2662232,2894911,3063850,3274183,3509250,3688605,3937463,4022461,4133555,4087901,4037170,3930899,3937019,3901597,4071468,4122684,4217182,4286567,4328644,4267926,4185290,4031714,3897301,3776974,3683916,3726013,3808525,3908907,3945577,3904139,3742776,3580873,3400137,428725.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제이동0중위 / 국내이동0중위),전국,계,70 0 74세,추계인구,0.0,311808.0,321793.0,318364.0,316993.0,310619.0,335061.0,345540.0,357675.0,378315.0,405381.0,425995.0,441394.0,459713.0,475169.0,489218.0,506353.0,517741.0,535655.0,553867.0,570640.0,598852.0,619032.0,649470.0,690656.0,733184.0,766793.0,788665.0,813599.0,842637.0,881165.0,922213.0,963947.0,1023257.0,1081502.0,1140499.0,1214841.0,1294801.0,1362205.0,1426335.0,1492503.0,1539637.0,1587018.0,1674052,1754449,1763752,1779544,1729122,1756800,1795390,1886106,1990347,2090525,2164766,2234677,2322783,2527085,2753018,2919238,3124245,3351004,3528324,3771898,3856948,3967616,3926557,3881887,3784214,3793806,3764596,3933014,3986827,4082534,4153130,4197060,4141760,4064258,3917834,3789703,3675420,3587793,3632046,3715507,3816288,311808.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제이동0중위 / 국내이동0중위),전국,계,75 0 79세,추계인구,0.0,149850.0,162497.0,164326.0,172242.0,181623.0,205140.0,215892.0,223076.0,223042.0,221813.0,227859.0,235639.0,254134.0,270403.0,288285.0,308108.0,317362.0,328409.0,341072.0,353200.0,393129.0,411385.0,425260.0,432880.0,441816.0,459426.0,484221.0,509498.0,540375.0,576492.0,608084.0,629856.0,654403.0,678767.0,713772.0,751853.0,791754.0,844714.0,898014.0,954171.0,1025532.0,1101326.0,1167399,1228474,1298398,1350503,1400166,1494315,1579149,1589635,1608464,1567444,1596539,1637098,1723662,1820534,1912336,1988025,2059642,2145482,2341230,2553812,2713279,2908241,3123040,3295733,3529347,3612136,3720121,3684090,3647845,3563245,3577170,3557089,3721878,3778423,3874576,3945280,3990377,3942601,3871945,3736347,3617899,149850.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제이동0중위 / 국내이동0중위),전국,계,80세이상,추계인구,0.0,100925.0,103202.0,106532.0,111452.0,116813.0,138840.0,143663.0,150745.0,159459.0,169337.0,178222.0,180478.0,186916.0,194699.0,205373.0,215180.0,226263.0,238002.0,250263.0,263092.0,302252.0,316920.0,332251.0,348153.0,364774.0,382219.0,421824.0,441505.0,456139.0,467826.0,483387.0,516029.0,551171.0,587361.0,626285.0,664484.0,704601.0,748890.0,797816.0,859933.0,922626.0,980499.0,1050587,1125228,1209247,1305490,1417791,1528426,1634958,1764631,1890824,2016985,2155978,2289858,2382540,2477683,2522199,2667343,2807907,2936935,3073495,3161051,3325288,3482404,3642320,3907917,4143340,4398893,4678492,4976979,5331351,5710019,5964917,6261283,6439563,6666413,6868319,7045122,7227939,7472140,7661086,7866016,8026726,100925.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제이동0중위 / 국내이동0중위),전국,계,80 0 84세,추계인구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310114.0,329611.0,350265.0,375966.0,404920.0,429246.0,448312.0,470006.0,492598.0,528386.0,565597.0,599815.0,643644,687406,733018,793916,867222,930279,987409,1055839,1109242,1157812,1238755,1311746,1322888,1338962,1305676,1343140,1387561,1465132,1551816,1628432,1700342,1768443,1848045,2026780,2213886,2358541,2533024,2724128,2885798,3098927,3174324,3274550,3244378,3220461,3156498,3175184,3168324,3322974,3380958,3474671,3542613,0.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제이동0중위 / 국내이동0중위),전국,계,85 0 89세,추계인구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128397.0,138867.0,150508.0,158543.0,165287.0,173940.0,188510.0,203971.0,224477.0,244803.0,261945.0,275332.0,290468,305257,335355,363551,391295,425167,458588,497418,548700,605532,646358,685925,737630,778346,817041,886264,946008,955427,967698,942066,979181,1020938,1082263,1150235,1203395,1264623,1322381,1387901,1534189,1678439,1794877,1932673,2082158,2218443,2391411,2449812,2531353,2506794,2497138,2460587,2482313,0.0
