가정별,성별,연령,항목,단위,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,년도
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,45 0 49세,추계인구,0.0,979930.0,1001234.0,1018295.0,1028448.0,1042490.0,1067093.0,1098163.0,1139852.0,1197933.0,1239082.0,1271554.0,1288932.0,1295548.0,1314772.0,1352755.0,1398399.0,1448885.0,1512900.0,1583123.0,1659875.0,1756088.0,1851271.0,1928379.0,2001786.0,2066471.0,2119340.0,2166942.0,2211518.0,2230327.0,2219245.0,2166709.0,2155466.0,2180285.0,2246633.0,2335451.0,2418904.0,2478292.0,2553587.0,2613214.0,2716095.0,2921443.0,3160621.0,3346133.0,3569142.0,3802111.0,3958097.0,4139484.0,4248784.0,4354664.0,4321262.0,4271709.0,4191090.0,4173386.0,4125313.0,4295086.0,4354036.0,4441770.0,4506942.0,4553179.0,4487622.0,4385732.0,4213912.0,4061992,3926944,3828741,3865770,3944572,4041970,4074072,4026680,3855874,3685334,3495431,3350483,3290592,3299778,3315837,3407450,3515960,3596314,3652105,3700344,3670128,3619034,3546827,3491221,3409227,3264354,3102163,2970673,2793071,2627593,2563903,2559191,2523407,2518360,2561014,2576401,2555032,2539456,2538304,2489625,2406111,2294413,2183169,2037876,1884934,1760335,1658426,1568709,1494005,1438893,1409087,979930.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,50 0 54세,추계인구,0.0,845256.0,862029.0,886427.0,899002.0,897329.0,909012.0,933841.0,955066.0,964239.0,978427.0,1017150.0,1041058.0,1071643.0,1122447.0,1169097.0,1202947.0,1224803.0,1243071.0,1261600.0,1289291.0,1324926.0,1376616.0,1444187.0,1517874.0,1600217.0,1686760.0,1772028.0,1852866.0,1927566.0,1994986.0,2021714.0,2066185.0,2111226.0,2126067.0,2111389.0,2090711.0,2074866.0,2103395.0,2173953.0,2270251.0,2365862.0,2427537.0,2505591.0,2568222.0,2664066.0,2861891.0,3106401.0,3287112.0,3524016.0,3761143.0,3934363.0,4163908.0,4263019.0,4364665.0,4334785.0,4289039.0,4170297.0,4163840.0,4122273.0,4297890.0,4338269.0,4425748.0,4489552,4525612,4459873,4367799,4202152,4057446,3927373,3825551,3863600,3943291,4041468,4074563,4028272,3858952,3689608,3500954,3356933,3297665,3307358,3324058,3416096,3525134,3606128,3662547,3711352,3681895,3631410,3559738,3504568,3423065,3278633,3116718,2985395,2808075,2642732,2579046,2574503,2539026,2534154,2577016,2592728,2571644,2556230,2555235,2506760,2423328,2311605,2200240,2054811,1901647,1776790,845256.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,55 0 59세,추계인구,0.0,628974.0,630604.0,640591.0,677339.0,726011.0,756811.0,778738.0,802670.0,821228.0,830540.0,846448.0,874484.0,872562.0,874616.0,890487.0,919381.0,951865.0,993395.0,1047164.0,1097369.0,1130835.0,1144240.0,1159080.0,1181647.0,1215411.0,1258578.0,1306470.0,1369732.0,1441506.0,1516598.0,1589504.0,1674389.0,1749203.0,1820265.0,1881895.0,1927926.0,1961234.0,2011322.0,2029040.0,2016474.0,2006389.0,2008937.0,2041047.0,2105442.0,2196938.0,2285610.0,2363424.0,2441497.0,2518813.0,2611705.0,2817315.0,3065255.0,3241925.0,3457310.0,3699016.0,3884217.0,4134915.0,4225899.0,4340508.0,4295393.0,4237067.0,4113626.0,4113957,4070751,4246026,4292571,4384454,4451091,4489822,4421800,4332354,4169855,4027734,3900082,3800410,3839460,3919958,4018833,4052964,4007998,3840689,3673112,3486328,3343769,3285465,3295833,3313322,3405784,3515269,3596845,3653864,3703231,3674678,3625003,3554085,3499572,3418803,3275101,3113776,2982905,2806189,2641293,2577794,2573523,2538456,2533818,2576904,2592992,2572286,2557098,2556314,2508141,2424908,628974.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,60 0 64세,추계인구,0.0,518465.0,535842.0,538118.0,525579.0,521670.0,530387.0,539542.0,552756.0,586162.0,634557.0,658773.0,684845.0,689332.0,698262.0,698520.0,709170.0,744604.0,773967.0,793066.0,811766.0,835876.0,860174.0,893176.0,935774.0,977601.0,1010305.0,1035168.0,1055954.0,1079622.0,1111801.0,1156731.0,1205934.0,1267444.0,1332971.0,1404302.0,1488523.0,1587609.0,1659101.0,1724288.0,1779701.0,1817056.0,1859995.0,1915420.0,1950647.0,1946812.0,1946175.0,1933740.0,1963549.0,2024598.0,2117041.0,2212040.0,2302960.0,2377804.0,2443552.0,2541221.0,2750831.0,2994342.0,3170368.0,3389068.0,3627949.0,3814370.0,4064749.0,4148113,4258205,4211091,4155466,4042638,4045830,4005606,4176009,4224945,4318208,4386286,4426675,4361898,4275411,4116744,3977890,3853314,3756412,3796745,3878169,3977826,4013231,3969950,3805278,3640103,3455800,3315163,3258086,3269232,3287599,3380469,3490353,3572518,3630215,3680231,3652793,3604184,3534309,3480713,3400948,3258299,3097922,2967816,2792046,2627924,2564822,2560927,2526394,2522082,2565438,2581940,518465.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,65 0 69세,추계인구,0.0,345675.0,344564.0,360707.0,386169.0,390534.0,403947.0,425836.0,434477.0,428329.0,428822.0,428725.0,467031.0,455436.0,476567.0,511455.0,538406.0,557018.0,577862.0,596346.0,608411.0,623957.0,640668.0,658652.0,674263.0,690739.0,712208.0,739370.0,774362.0,816658.0,866053.0,900851.0,919104.0,938875.0,965304.0,1002718.0,1048214.0,1100172.0,1164709.0,1229902.0,1298093.0,1381212.0,1461093.0,1528114.0,1592234.0,1649747.0,1689609.0,1734658.0,1804867.0,1866427.0,1870279.0,1878314.0,1846336.0,1874691.0,1914508.0,2005729.0,2105631.0,2210004.0,2286519.0,2356588.0,2448622.0,2662232.0,2894911.0,3063850,3274183,3509250,3688605,3937463,4022461,4133555,4087901,4037170,3930899,3937019,3901597,4071468,4122684,4217182,4286567,4328644,4267926,4185290,4031714,3897301,3776974,3683916,3726013,3808525,3908907,3945577,3904139,3742776,3580873,3400137,3262390,3207168,3219397,3238897,3332207,3442371,3525040,3583398,3634049,3607969,3560809,3492390,3440097,3361789,3220742,3061895,2933062,2758865,2596179,2533871,345675.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,70 0 74세,추계인구,0.0,210394.0,224438.0,227011.0,223091.0,235616.0,245292.0,260200.0,257088.0,268120.0,278900.0,311808.0,321793.0,318364.0,316993.0,310619.0,335061.0,345540.0,357675.0,378315.0,405381.0,425995.0,441394.0,459713.0,475169.0,489218.0,506353.0,517741.0,535655.0,553867.0,570640.0,598852.0,619032.0,649470.0,690656.0,733184.0,766793.0,788665.0,813599.0,842637.0,881165.0,922213.0,963947.0,1023257.0,1081502.0,1140499.0,1214841.0,1294801.0,1362205.0,1426335.0,1492503.0,1539637.0,1587018.0,1674052.0,1754449.0,1763752.0,1779544.0,1729122.0,1756800.0,1795390.0,1886106.0,1990347.0,2090525.0,2164766,2234677,2322783,2527085,2753018,2919238,3124245,3351004,3528324,3771898,3856948,3967616,3926557,3881887,3784214,3793806,3764596,3933014,3986827,4082534,4153130,4197060,4141760,4064258,3917834,3789703,3675420,3587793,3632046,3715507,3816288,3854259,3815237,3658909,3502176,3327098,3193920,3141519,3155198,3176160,3269768,3379832,3462780,3521712,3572948,3548804,3503875,3437747,3387545,3311620,3173298,210394.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,75 0 79세,추계인구,0.0,111199.0,116485.0,126531.0,134787.0,143397.0,151950.0,157264.0,150598.0,145121.0,145016.0,149850.0,162497.0,164326.0,172242.0,181623.0,205140.0,215892.0,223076.0,223042.0,221813.0,227859.0,235639.0,254134.0,270403.0,288285.0,308108.0,317362.0,328409.0,341072.0,353200.0,393129.0,411385.0,425260.0,432880.0,441816.0,459426.0,484221.0,509498.0,540375.0,576492.0,608084.0,629856.0,654403.0,678767.0,713772.0,751853.0,791754.0,844714.0,898014.0,954171.0,1025532.0,1101326.0,1167399.0,1228474.0,1298398.0,1350503.0,1400166.0,1494315.0,1579149.0,1589635.0,1608464.0,1567444.0,1596539,1637098,1723662,1820534,1912336,1988025,2059642,2145482,2341230,2553812,2713279,2908241,3123040,3295733,3529347,3612136,3720121,3684090,3647845,3563245,3577170,3557089,3721878,3778423,3874576,3945280,3990377,3942601,3871945,3736347,3617899,3513217,3434517,3482062,3566340,3666690,3705545,3669263,3520848,3372684,3207448,3082418,3034977,3050888,3074045,3167664,3276827,3359465,3418616,3470115,3449036,111199.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,80세이상,추계인구,0.0,59182.0,65394.0,68467.0,72121.0,75588.0,79894.0,83334.0,85761.0,91367.0,95805.0,100925.0,103202.0,106532.0,111452.0,116813.0,138840.0,143663.0,150745.0,159459.0,169337.0,178222.0,180478.0,186916.0,194699.0,205373.0,215180.0,226263.0,238002.0,250263.0,263092.0,302252.0,316920.0,332251.0,348153.0,364774.0,382219.0,421824.0,441505.0,456139.0,467826.0,483387.0,516029.0,551171.0,587361.0,626285.0,664484.0,704601.0,748890.0,797816.0,859933.0,922626.0,980499.0,1050587.0,1125228.0,1209247.0,1305490.0,1417791.0,1528426.0,1634958.0,1764631.0,1890824.0,2016985.0,2155978,2289858,2382540,2477683,2522199,2667343,2807907,2936935,3073495,3161051,3325288,3482404,3642320,3907917,4143340,4398893,4678492,4976979,5331351,5710019,5964917,6261283,6439563,6666413,6868319,7045122,7227939,7472140,7661086,7866016,8026726,8172480,8292820,8345100,8357303,8350323,8349002,8355098,8422448,8491524,8562264,8585389,8549121,8468876,8394914,8310959,8223952,8157403,8112309,8083376,8114530,59182.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,80 0 84세,추계인구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310114.0,329611.0,350265.0,375966.0,404920.0,429246.0,448312.0,470006.0,492598.0,528386.0,565597.0,599815.0,643644.0,687406.0,733018.0,793916.0,867222.0,930279.0,987409.0,1055839.0,1109242.0,1157812.0,1238755,1311746,1322888,1338962,1305676,1343140,1387561,1465132,1551816,1628432,1700342,1768443,1848045,2026780,2213886,2358541,2533024,2724128,2885798,3098927,3174324,3274550,3244378,3220461,3156498,3175184,3168324,3322974,3380958,3474671,3542613,3587253,3551490,3491781,3374834,3272988,3185068,3121919,3173940,3257485,3354382,3392824,3360385,3226890,3095500,2949986,2841142,2803012,2822291,2848758,2941057,0.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,85 0 89세,추계인구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128397.0,138867.0,150508.0,158543.0,165287.0,173940.0,188510.0,203971.0,224477.0,244803.0,261945.0,275332.0,290468.0,305257.0,335355.0,363551.0,391295.0,425167.0,458588.0,497418.0,548700.0,605532.0,646358,685925,737630,778346,817041,886264,946008,955427,967698,942066,979181,1020938,1082263,1150235,1203395,1264623,1322381,1387901,1534189,1678439,1794877,1932673,2082158,2218443,2391411,2449812,2531353,2506794,2497138,2460587,2482313,2490578,2621932,2676459,2759264,2816850,2855810,2835518,2791248,2703440,2627539,2566114,2526926,2581796,2659016,2744884,2779004,2751468,2644041,2542067,2431429,0.0
중위 추계(기본 추계: 출산율0중위 / 기대수명0중위 / 국제순이동0중위),전체,90 0 94세,추계인구,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37139.0,39163.0,41466.0,43367.0,46025.0,50264.0,56026.0,62191.0,67293.0,71866.0,77964.0,86046.0,95044.0,109626.0,116393.0,120958.0,128909.0,138080.0,147576.0,168248.0,187321.0,203889.0,218926,235791,258561,289611,322117,351115,377656,408626,432609,455623,497877,533247,537883,544495,527781,557282,588413,626524,668422,695156,737563,776914,819836,916474,1003442,1077440,1162933,1254659,1347222,1459243,1492302,1544207,1525853,1527957,1516951,1535590,1552275,1642766,1683681,1742369,1780060,1806888,1801217,1774851,1723423,1679961,1649730,1636074,1684582,1743642,1805570,0.0
